HomeTeam,AwayTeam,Full Time Home Goals,Full Time Away Goals,B365>2.5,B365<2.5,AHh
Tottenham,Crystal Palace,0,2,1.53,2.5,0
Liverpool,Arsenal,2,2,1.73,2.1,-0.5
Aston Villa,Tottenham,2,0,1.36,3.2,-1.5
Chelsea,Man United,1,0,1.5,2.63,-1.25
Everton,Southampton,2,0,1.8,2,-1.25
West Ham,Nott'm Forest,1,2,1.98,1.92,0
Brentford,Fulham,2,3,1.62,2.3,-0.5
Leicester,Ipswich,2,0,1.73,2.1,-0.25
Arsenal,Newcastle,1,0,1.73,2.1,-0.5
Brighton,Liverpool,3,2,1.44,2.75,0
Crystal Palace,Wolves,4,2,2.02,1.88,-0.25
Man City,Bournemouth,3,1,1.53,2.5,-1
Bournemouth,Leicester,2,0,1.5,2.63,-1.5
Fulham,Man City,0,2,1.53,2.5,1
Ipswich,West Ham,1,3,1.5,2.63,0.25
Liverpool,Crystal Palace,1,1,1.3,3.5,-1.5
Man United,Aston Villa,2,0,1.62,2.3,0.75
Newcastle,Everton,0,1,1.53,2.5,-1.5
Nott'm Forest,Chelsea,0,1,1.67,2.2,0.25
Southampton,Arsenal,1,2,1.5,2.63,1.5
Tottenham,Brighton,1,4,1.33,3.4,0.75
Wolves,Brentford,1,1,1.53,2.5,0
